ID,色,上の句（読み上げ）,下の句（読み上げ）,下の句１（最初の5文字）,下の句２（中間の5文字）,下の句３（最後の5〜7文字）
79,lightyellow,あきかぜに  たなびくくもの  たえまより,もれいづるつきの  かげのさやけさ,もれいづる,つきのかげ,のさやけさ
80,mistyrose,ながからむ  こころもしらず  くろかみの,みだれてけさは  ものをこそおもへ,みだれてけ,さはものを,こそおもへ
81,lightyellow,ほととぎす  なきつるかたを  ながむれば,ただありあけの  つきぞのこれる,ただありあ,けのつきぞ,のこれる
82,lightcyan,おもひわび  さてもいのちは  あるものを,うきにたへぬは  なみだなりけり,うきにたへ,ぬはなみだ,なりけり
83,mistyrose,よのなかよ  みちこそなけれ  おもひいる,やまのおくにも  しかぞなくなる,やまのおく,にもしかぞ,なくなる
84,mistyrose,ながらへば  またこのごろや  しのばれむ,うしとみしよぞ  いまはこひしき,うしとみし,よぞいまは,こひしき
85,lightyellow,よもすがら  ものおもふころは  あけやらで,ねやのひまさへ  つれなかりけり,ねやのひま,さへつれな,かりけり
86,mistyrose,なげけとて  つきやはものを  おもはする,かこちがほなる  わがなみだかな,かこちがほ,なるわがな,みだかな
87,lightyellow,むらさめの  つゆもまだひぬ  まきのはに,きりたちのぼる  あきのゆふぐれ,きりたちの,ぼるあきの,ゆふぐれ
88,moccasin,なにはえの  あしのかりねの  ひとよゆゑ,みをつくしてや  こひわたるべき,みをつくし,てやこひわ,たるべき
89,lightyellow,たまのをよ  たえなばたえね  ながらへば,しのぶることの  よわりもぞする,しのぶるこ,とのよわり,もぞする
90,moccasin,みせばやな  をじまのあまの  そでだにも,ぬれにぞぬれし  いろはかはらず,ぬれにぞぬ,れしいろは,かはらず
91,lightcyan,きりぎりす  なくやしもよの  さむしろに,ころもかたしき  ひとりかもねむ,ころもかた,しきひとり,かもねむ
92,honeydew,わがそでは  しほひにみえぬ  おきのいしの,ひとこそしらね  かわくまもなし,ひとこそし,らねかわく,まもなし
93,honeydew,よのなかは  つねにもがもな  なぎさこぐ,あまのをぶねの  つなでかなしも,あまのをぶ,ねのつなで,かなしも
94,lightyellow,みよしのの  やまのあきかぜ  さよふけて,ふるさとさむく  ころもうつなり,ふるさとさ,むくころも,うつなり
95,moccasin,おほけなく  うきよのたみに  おほふかな,わがたつそまに  すみぞめのそで,わがたつそ,まにすみぞ,めのそで
96,lightyellow,はなさそふ  あらしのにはの  ゆきならで,ふりゆくものは  わがみなりけり,ふりゆくも,のはわがみ,なりけり
97,mistyrose,こぬひとを  まつほのうらの  ゆふなぎに,やくやもしほの  みもこがれつつ,やくやもし,ほのみもこ,がれつつ
98,moccasin,かぜそよぐ  ならのをがはの  ゆふぐれは,みそぎぞなつの  しるしなりける,みそぎぞな,つのしるし,なりける
99,moccasin,ひともをし  ひともうらめし  あぢきなく,よをおもふゆゑに  ものおもふみは,よをおもふ,ゆゑにもの,おもふみは
100,lightcyan,ももしきや  ふるきのきばの  しのぶにも,なほあまりある  むかしなりけり,なほあまり,あるむかし,なりけり
